T0000611	268531	150	COASTAL STATES		
T0000294	268533	150	NON-NUCLEAR-WEAPON STATES		
T0000302	268534	150	NUCLEAR WEAPON STATES		
T0004650	268535	150	CHURCH AND STATE		
T0000550	268536	150	EQUALITY OF STATES		
T0005744	268537	150	NEIGHBOURING STATES		
T0000585	268538	150	STATE SUCCESSION		
T0000149	268539	150	DIPLOMATS		
T0000125	268540	150	STUDENT MOVEMENTS		
T0004318	268541	150	YOUTH MOVEMENTS		
T0003668	268542	150	STUDENT ORGANIZATIONS		
T0006844	268543	150	TRADE UNION ACTIVISTS		
T0003896	268544	150	TRADE UNION RIGHTS		
T0003898	268545	150	WORKERS' EDUCATION		
T0003893	268546	150	INTERNATIONAL LABOUR ACTIVITIES		
T0000131	268548	150	UNDERGROUND MOVEMENTS		
T0009543	268550	150	NUCLEAR TERRORISM		
T0000564	268551	150	INTERNATIONAL CRIMES		
T0000169	268552	150	MILITARY OCCUPATION		
T0000133	268553	150	VETO		
T0000429	268554	150	DOMICILE AND RESIDENCE		
T0002913	268555	150	JEWS		
T0005505	268556	151	ISRAEL		
T0000137	268557	150	AFRO-ASIAN POLITICS		
T0000166	268558	150	INTERNATIONAL RELATIONS		
T0010083	268559	150	SOUTH-SOUTH RELATIONS		
T0005325	268560	151	AFRICA		
T0005446	268561	151	ASIA		
T0000138	268562	150	ALLIANCES		
T0000171	268563	150	NON-ALIGNMENT		
T0000139	268564	150	AMBASSADORS		
T0007823	268565	150	EMBASSIES		
T0000140	268566	150	BALANCE OF POWER		
T0000227	268568	150	ARMS RACE		
T0000185	268569	150	SPHERES OF INFLUENCE		
T0000141	268570	150	CONSULAR RELATIONS		
T0005642	268571	150	FOREIGN RELATIONS		
T0000540	268572	150	CONSULAR LAW		
T0000145	268573	150	DIPLOMATIC AND CONSULAR SERVICE		
T0000148	268574	150	DIPLOMATIC RELATIONS		
T0000142	268575	150	COORDINATION WITHIN UN SYSTEM		
T0000715	268576	150	AID COORDINATION		
T0006011	268577	150	CROSS-ORGANIZATIONAL PROGRAMME ANALYSES		
T0006758	268578	150	INTER-AGENCY COOPERATION		
T0007895	268579	150	INTER-AGENCY GROUPS		
T0006050	268580	150	RESIDENT COORDINATORS		
T0000184	268581	150	SPECIALIZED AGENCIES		
T0000143	268582	150	DETENTE		
T0000249	268584	150	DISARMAMENT		
T0006306	268585	150	EAST-WEST RELATIONS		
T0000152	268586	150	EUROPEAN SECURITY AND COOPERATION		
T0000199	268587	150	INTERNATIONAL SECURITY		
T0000181	268588	150	PEACEFUL COEXISTENCE		
T0009998	268589	150	REGIONAL SECURITY		
T0000144	268590	150	DIPLOMACY		
T0010104	268591	150	PREVENTIVE DIPLOMACY		
T0000147	268592	150	DIPLOMATIC ETIQUETTE		
T0000201	268593	150	NEGOTIATION		
T0006117	268594	150	CONFIDENCE-BUILDING MEASURES		
T0000771	268595	150	CIVIL SERVICE		
T0000146	268596	150	DIPLOMATIC COMMUNITY		
T0000546	268597	150	DIPLOMATIC PRIVILEGES AND IMMUNITIES		
T0000776	268598	150	GOVERNMENT MISSIONS		
T0006790	268599	150	PERMANENT MISSIONS		
T0009664	268600	150	OBSERVER MISSIONS		
T0004200	268602	150	ETIQUETTE		
T0000543	268603	150	DIPLOMATIC BAGS		
T0000544	268604	150	DIPLOMATIC COURIERS		
T0006743	268605	150	HOST COUNTRY RELATIONS		
T0009984	268606	150	DIPLOMATIC LAW		
T0001833	268607	150	INDUSTRIAL ESPIONAGE		
T0000151	268608	150	EUROPEAN FEDERATION		
T0000179	268610	150	PAN-PACIFIC RELATIONS		
T0000174	268611	150	PAN-AFRICANISM		
T0000175	268612	150	PAN-AMERICANISM		
T0000177	268613	150	PAN-ARABISM		
T0000154	268614	150	FRIENDLY RELATIONS AMONG STATES		
T0007827	268615	150	MUTUAL AND BALANCED FORCE REDUCTIONS		
T0000153	268616	150	FORCE IN INTERNATIONAL RELATIONS		
T0000533	268617	150	AGGRESSION		
T0000566	268618	150	INTERVENTION		
T0009324	268619	150	NON-FIRST-USE POLICY		
T0007824	268621	150	GOOD NEIGHBOURLINESS		
T0000160	268622	150	INTERNATIONAL COOPERATION		
T0000155	268623	150	GEOPOLITICS		
T0004989	268624	150	POLITICAL GEOGRAPHY		
T0000275	268625	150	MILITARY GEOGRAPHY		
T0009988	268626	150	FOREIGN POLICY		
T0000157	268627	150	IMPERIALISM		
T0000310	268628	150	SEA POWER		
T0000328	268629	150	COLONIALISM		
T0000334	268630	150	NEOCOLONIALISM		
T0000159	268631	150	INTERNATIONAL CIVIL SERVICE		
T0007874	268633	150	FIELD STAFF		
T0007875	268634	150	GENERAL SERVICE STAFF		
T0007878	268635	150	LANGUAGE STAFF		
T0009451	268636	150	MANUAL WORKERS		
T0007881	268637	150	PROFESSIONAL STAFF		
T0009457	268638	150	SECURITY AND SAFETY STAFF		
T0007892	268639	150	TOP ECHELON STAFF		
T0006374	268640	150	COMPETITIVE EXAMINATIONS		
T0007849	268641	150	INTERGOVERNMENTAL ORGANIZATIONS		
T0009695	268642	150	MISSION ASSIGNMENT		
T0007882	268643	150	SALARIES AND ALLOWANCES		
T0007883	268644	150	SALARY SUPPLEMENTS		
T0006834	268645	150	SPOUSE EMPLOYMENT		
T0007888	268646	150	STAFF COMPOSITION		
T0007889	268647	150	STAFF REPRESENTATION		
T0007890	268648	150	STAFF SECURITY		
T0007886	268649	150	STANDARDS OF CONDUCT		
T0010211	268650	150	SECONDMENT		
T0006365	268651	150	AFRO-ARAB COOPERATION		
T0006704	268652	150	COOPERATION BETWEEN ORGANIZATIONS		
T0004537	268653	150	CULTURAL COOPERATION		
T0000728	268654	150	ECONOMIC COOPERATION		
T0001517	268655	150	INTERNATIONAL AGRICULTURAL COOPERATION		
T0000747	268656	150	REGIONAL COOPERATION		
T0004934	268657	150	SCIENTIFIC COOPERATION		
T0000756	268658	150	TECHNICAL COOPERATION		
T0000929	268659	150	DEVELOPMENT ASSISTANCE		
T0006761	268660	150	INTERNATIONAL DAYS		
T0006762	268661	150	INTERNATIONAL DECADES		
T0000164	268662	150	INTERNATIONAL ORGANIZATION THEORY		
T0007209	268663	150	INTERNATIONAL WEEKS		
T0004224	268664	150	INTERNATIONAL YEARS		
T0000172	268665	150	NON-GOVERNMENTAL ORGANIZATIONS		
T0005749	268666	150	RECONSTRUCTION		
T0009989	268667	150	HUMANITARIAN INTERVENTION		
T0010074	268668	150	MULTILATERALISM		
T0000562	268669	150	INTERNATIONAL LAW		
T0000187	268670	150	WORLD GOVERNMENT		
T0000165	268671	150	INTERNATIONAL ORGANIZATIONS		
T0009744	268672	150	EAST-SOUTH RELATIONS		
T0000173	268673	150	NORTH-SOUTH RELATIONS		
T0000678	268674	150	ECONOMIC SECURITY		
T0003614	268675	150	INTERNATIONAL EDUCATION		
T0005747	268676	150	POLITICAL COOPERATION		
T0009325	268677	150	NOTIFICATION (INTERNATIONAL RELATIONS)		
