"Doc Symbol"	publicaion date	Jobs	EN	AR	discard	Index creation date	Lang available	Area
E/ESCWA/OES/2015/WP.8	29/12/2015	I1500556	PERCEPTIONS OF INEQUALITY AND SOCIAL JUSTICE IN THE ARAB REGION			25/01/2018	EP	UNDOC
E/ESCWA/SDD/2017/TECHNICAL PAPER.3	10/05/2017	I1700328	INTERGENERATIONAL JUSTICE: MEETING THE NEEDS OF THE FUTURE ARAB GENERATIONS			25/01/2018	EP	UNDOC
E/ESCWA/SDD/2017/TECHNICAL PAPER.1	16/01/2017	I1700198	INEQUALITY IN THE SDGS : FIGHTING MULTIDIMENSIONAL INEQUALITY IN THE ARAB REGION			25/01/2018	EP	UNDOC
E/ESCWA/SDD/2017/TECHNICAL PAPER.4	19/05/2017	I1700336	CONDITIONAL CASH TRANSFERS IN THE ARAB REGION			25/01/2018	EP	UNDOC
E/ESCWA/SDD/2013/5/MANUAL	13/03/2013	I1300320		السياسة الوطنية للشباب : دليل مرجعي		25/01/2018	AP	UNDOC
E/ESCWA/SDD/2017/TECHNICAL PAPER.14	21/11/2017	I1700707	CHANGES IN PUBLIC EXPENDITURE ON SOCIAL PROTECTION IN ARAB COUNTRIES			25/01/2018	EP	UNDOC
E/ESCWA/SDD/2017/TECHNICAL PAPER.5	19/05/2017	I1700337	THE SOCIAL IMPACTS OF ENERGY SUBSIDY REFORM IN THE ARAB REGION			25/01/2018	EP	UNDOC
E/ESCWA/SDD/2013/4/MANUAL	25/01/2013	I1300319		السياسة الوطنية للشباب : تقرير تقني حول القضايا والأولويات والسياسات المتعلقة بالشباب في بعض الدول العربية		25/01/2018	AP	UNDOC
E/ESCWA/SDPD/2015/WP.3	13/03/2015	I1500193		المجتمع المدني ومهام المساءلة والمحاسبة في اطار خطة ما بعد 2015		25/01/2018	AP	UNDOC
E/ESCWA/ECW/2017/IG.1/7/REPORT	21/11/2017	I1700708	REPORT : EIGHTH SESSION OF THE COMMITTEE ON WOMEN, BEIRUT, 4 - 5 OCTOBER 2017	تقرير لجنة المرأة عن دورتها الثامنة، بيروت، 4 - 5 تشرين الاول/اكتوبر 2017		29/01/2018	EP AP	UNDOC
E/ESCWA/SDD/2018/PAMPHLET.1	30/01/2018	I1800001	ESCWA APPROACH TO KEY SOCIAL GROUPS AND EMERGING ISSUES IN THE ARAB REGION			30/01/2018	EP	UNDOC
E/ESCWA/ECW/2017/4	24/12/2017	I1700572	THE STATE OF GENDER JUSTICE IN THE ARAB REGION			13/02/2018	EP	UNDOC
E/ESCWA/SDPD/2017/2	13/02/2017	I1700790	ARAB REGION PROGRESS IN SUSTAINABLE ENERGY : GLOBAL TRACKING FRAMEWORK REGIONAL REPORT			13/02/2018	EP	UNDOC
E/ESCWA/EDID/2017/IG.1/9/REPORT	11/01/2018	I1800021		تقرير لجنة النقل واللوجستيات عن دورتها الثامنة عشرة، بيروت، 20 - 21 كانون الأول/ديسمبر 2017		19/02/2018	AP	UNDOC
E/ESCWA/EDID/2017/IG.2/9/REPORT	16/01/2018	I1800023		تقرير اللجنة المعنية بتحرير التجارة الخارجية والعولمة الاقتصادية وتمويل التنمية عن دورتها الثانية عشرة(تمويل التنمية)، بيروت، 4 - 5 كانون الأول/ديسمبر 2017		19/02/2018	AP	UNDOC
E/ESCWA/SDD/2018/PAMPHLET.2	20/02/2018	I1800031	OBSERVANCE OF THE ELEVENTH WORLD DAY OF SOCIAL JUSTICE “CELEBRATING EQUALITY AND JUSTICE IN THE WORK OF GIBRAN KHALIL GIBRAN” TUESDAY, 20 FEBRUARY 2018, UNITED NATIONS HOUSE, BEIRUT	الاحتفال الحادي عشر باليوم العالمي للعدالة الاجتماعية “المساواة والعدالة في الأعمال الأدبية والفنية لجبران خليل جبران”، الثلاثاء 20 شباط/فبراير 2018، بيت الأمم المتحدة، بيروت		20/02/2018	EP AP	UNDOC
E/ESCWA/SDD/2017/TECHNICAL PAPER.16	24/01/2018	I1800042		الأطر الدولية التي تعالج قضايا كبار السن والشيخوخة		28/02/2018	AP	UNDOC
