Doc Symbol	publicaion date	jobs	area	EN	AR
E/ESCWA/EDID/2017/1	12/01/2017			SURVEY OF ECONOMIC AND SOCIAL DEVELOPMENTS IN THE ARAB REGION 2016-2017	
E/ESCWA/OES/2018/1	06/05/2018			ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA ANNUAL REPORT 2017	
E/ESCWA/SDPD/2017/1	08/28/2017				
E/ESCWA/30/18/REPORT	08/13/2018			REPORT OF THE THIRTIETH SESSION, 25 - 28 JUNE 2018, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA, ECONOMIC AND SOCIAL COUNCIL, OFFICIAL RECORDS, SUPPLEMENT NO. 21	
E/ESCWA/30/3	05/15/2018			CONSIDERATION OF REQUESTS BY STATES OF THE UNITED NATIONS AND/OR ITS SPECIALIZED AGENCIES THAT ARE NOT MEMBERS OF ESCWA TO PARTICIPATE AS OBSERVERS IN THE THIRTIETH SESSION OF THE COMMISSION, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/4	05/14/2018			MEGATRENDS IN THE TRANSPORT SECTOR AND THEIR IMPACT ON THE ARAB REGION (CONCEPT NOTE) : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/5	05/24/2018			SUPPORT FOR THE PALESTINIAN PEOPLE : IMPACT OF THE ISRAELI OCCUPATION AND PRACTICES, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/6	06/05/2018			OUTCOMES OF THE 2018 ARAB FORUM ON SUSTAINABLE DEVELOPMENT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/7	05/23/2018			LINKS BETWEEN INFORMATION AND COMMUNICATION TECHNOLOGY PROCESSES AND SUSTAINABLE DEVELOPMENT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/INF.1	06/18/2018			INFORMATION FOR PARTICIPANTS, UNITED NATIONS ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/INF.2	05/24/2018			LIST OF DOCUMENTS : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA), THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/L.1	05/24/2018			PROVISIONAL AGENDA AND ANNOTATIONS, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/L.2	06/11/2018			ORGANIZATION OF WORK : NOTE BY THE SECRETARIAT, ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/2017/EC.3/8/REPORT	06/17/2017			REPORT OF THE THIRD MEETING OF THE EXECUTIVE COMMITTEE, RABAT, 6-7 MAY 2017  	
E/ESCWA/EDID/2017/IG.2/9/REPORT	01/16/2018			REPORT : TWELFTH SESSION OF THE COMMITTEE ON LIBERALIZATION OF FOREIGN TRADE, ECONOMIC GLOBALIZATION AND FINANCING FOR DEVELOPMENT (FOCUS ON FINANCE), BEIRUT, 4-5 DECEMBER 2017	
E/ESCWA/SDD/2017/IG.1/6/REPORT	11/20/2017			REPORT  ELEVENTH SESSION OF THE COMMITTEE ON SOCIAL DEVELOPMENT, KHARTOUM, 17-18 OCTOBER 2017	
E/ESCWA/30/10	06/11/2018			IMPLEMENTATION OF THE DOHA DECLARATION AND OTHER RESOLUTIONS ADOPTED BY THE COMMISSION AT ITS TWENTY-NINTH SESSION ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/11	05/15/2018			REPORTS OF THE EXECUTIVE COMMITTEE : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/12	05/15/2018			REPORTS OF THE COMMISSION'S SUBSIDIARY BODIES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/13	05/02/2018			PROGRAMME PERFORMANCE IN THE BIENNIUM 2016-2017 ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/14	05/29/2018			TECHNICAL COOPERATION AND REGIONAL ADVISORY SERVICES ; ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/15	04/11/2018			FINANCIAL STATUS OF THE COMMISSION : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/16	04/25/2018			PROPOSED AMENDMENTS TO THE STRATEGIC FRAMEWORK AND PROGRAMME OF WORK FOR THE BIENNIUM 2018-2019 : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/17	04/19/2018			TECHNOLOGY FOR SUSTAINABLE DEVELOPMENT : CREATING DECENT JOBS AND EMPOWERING YOUTH IN ARAB COUNTRIES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
E/ESCWA/30/17/CRP.1	05/17/2018			TECHNOLOGY FOR SUSTAINABLE DEVELOPMENT IN THE ARAB REGION ROUNDTABLES : ECONOMIC AND SOCIAL COMMISSION FOR WESTERN ASIA (ESCWA),THIRTIETH SESSION, BEIRUT, 25-28 JUNE 2018	
