E/ESCWA/DOC/36	08/14/2018	I1800194	DOCUMENTS AND PUBLICATIONS ISSUED BY ESCWA FROM 1 JANUARY 2016 TO 31 DECEMBER 2017		T0005975;T0004781;T0006045;T0000731;T0004271;T0004271;T0000896;T0004190;T0001118;T0001129;T0005529
E/ESCWA/ECRI/2017/BACKGROUND PAPER.1	05/08/2017	I1700319		اللامركزية في العراق: نظرة أخرى	T0000032;T0001911;T0010458;T0006159;T0005532
E/ESCWA/ECW/2015/WG.4/REPORT	10/26/2015	I1500432			T0010419;T0003650;T0005942;T0004830;T0005529
E/ESCWA/ECW/2017/2	11/01/2017	I1700383	STATUS OF ARAB WOMEN REPORT 2017 : VIOLENCE AGAINST WOMEN : WHAT IS AT STAKE?		T0010419;T0006047;T0005946;T0013314;T0005529
E/ESCWA/ECW/2017/3	09/19/2017	I1700411	WOMEN’S POLITICAL REPRESENTATION IN THE ARAB REGION		T0003959;T0005533;T0005363;T0005383;T0005342;T0006159;T0009881
E/ESCWA/ECW/2017/4	12/24/2017	I1700571	THE STATE OF GENDER JUSTICE IN THE ARAB REGION		T0010388;T0004281;T0003962;T0006858;T0003959;T0005946;T0005529;T0010419;T0004228;T0000769
E/ESCWA/ECW/2017/IG.1/7/REPORT	11/21/2017	I1700708	REPORT : EIGHTH SESSION OF THE COMMITTEE ON WOMEN, BEIRUT, 4 - 5 OCTOBER 2017	تقرير لجنة المرأة عن دورتها الثامنة، بيروت، 4 - 5 تشرين الاول/اكتوبر 2017	T0006857;T0003962;T0006858;T0013540;T0003955;T0003959;T0010388;T0010419;T0000792;T0006023;T0006045;T0005529;T0007920
E/ESCWA/ECW/2017/TECHNICAL PAPER.2	05/09/2017	I1700318	WOMEN: ARAB HORIZON 2030		T0002861;T0003959;T0003955;T0003695;T0010095;T0010388;T0010624;T0005529;T0006159
E/ESCWA/ECW/2017/TECHNICAL PAPER.4	07/18/2017	I1700602	ESTIMATING COSTS OF MARITAL VIOLENCE  IN THE ARAB REGION : OPERATIONAL MODEL		T0006139;T0002813;T0002815;T0013314;T0005535
E/ESCWA/ECW/2017/TECHNICAL PAPER.5	10/03/2017	I1700589	POLICY BRIEF ROLE OF WOMEN IN PEACEBUILDING PROCESSES		T0002861;T0010116;T0003959;T0005529
E/ESCWA/ECW/2017/TECHNICAL PAPER.6	10/18/2017	I1700609	POLICY BRIEF ON ARAB WOMEN’S ECONOMIC EMPOWERMENT		T0006857;T0003955;T0000731;T0010408;T0000643;T0000638;T0005529;T0003962;T0006858
E/ESCWA/ECW/2017/TECHNICAL PAPER.8	01/05/2018	I1800012			T0010388;T0006857;T0000792;T0005529
